!SIL	SIL
बच	b a c
बचकर	b a c k a r
बचकाना	b a c k aa n aa
बचत	b a c a t
बचता	b a c t aa
बचना	b a c n aa
बचने	b a c n ee
बचपन	b a c p a n
बचा	b a c aa
बचाई	b a c aa ii
बचाए	b a c aa ee
बचाएगा	b a c aa ee g aa
बचाओ	b a c aa o
बचाकर	b a c aa k a r
बचाता	b a c aa t aa
बचाना	b a c aa n aa
बचानी	b a c aa n ii
बचाने	b a c aa n ee
बचाया	b a c aa y aa
बचाव	b a c aa w
बची	b a c ii
बचे	b a c ee
बचें	b a c ee q
बचेंगे	b a c ee q g ee
बचेगा	b a c ee g aa
बच्चन	b a c c a n
बच्चा	b a c c aa
बच्ची	b a c c ii
बच्चे	b a c c ee
बच्चें	b a c c ee q
बच्चेवेस्टेड	b a c c ee w ee s tx ee dx
बच्चों	b a c c o q
बज	b a j
बजज	b a j a j
बजट	b a j a tx
बजटबजट	b a j tx a b j a tx
बजटीय	b a j tx ii y
बजते	b a j t ee
बजफीड	b a j ph ii dx
बजरी	b a j r ii
बजाए	b a j aa ee
बजाज	b a j aa j
बजाने	b a j aa n ee
बजाय	b a j aa y
बजाया	b a j aa y aa
बजे	b a j ee
बजेंगी	b a j ee q g ii
बजेट	b a j ee tx
बट	b a tx
बटन	b a tx a n
बटलर	b a tx l a r
बटाते	b a tx aa t ee
बटालियन	b a tx aa l i y a n
बटोर	b a tx o r
बटोरकर	b a tx o r k a r
बटोरीं	b a tx o r ii q
बड़ा	b a dxq aa
बड़ी	b a dxq ii
बड़े	b a dxq ee
बड़ौदा	b a dxq ou d aa
बडा	b a dx aa
बडी	b a dx ii
बडे	b a dx ee
बडे़	b a dxq ee
बढकर	b a dxh k a r
बढगा	b a dxh g aa
बढत	b a dxh a t
बढ़	b a dxhq
बढ़त	b a dxhq a t
बढ़ता	b a dxhq t aa
बढ़ती	b a dxhq t ii
बढ़ना	b a dxhq n aa
बढ़ने	b a dxhq n ee
बढ़ा	b a dxhq aa
बढ़ाई	b a dxhq aa ii
बढ़ाए	b a dxhq aa ee
बढ़ाएगी	b a dxhq aa ee g ii
बढ़ाकर	b a dxhq aa k a r
बढ़ाते	b a dxhq aa t ee
बढ़ाना	b a dxhq aa n aa
बढ़ाने	b a dxhq aa n ee
बढ़ाया	b a dxhq aa y aa
बढ़ेगा	b a dxhq ee g aa
बढ़ेगी	b a dxhq ee g ii
बढ़ोतरी	b a dxhq o t r ii
बढ़ोत्तरी	b a dxhq o t t r ii
बढा	b a dxh aa
बढाया	b a dxh aa y aa
बढी	b a dxh ii
बता	b a t aa
बताई	b a t aa ii
बताईं	b a t aa ii q
बताउंगी	b a t aa u q g ii
बताए	b a t aa ee
बताएं	b a t aa ee q
बताएंगे	b a t aa ee q g ee
बताएगा	b a t aa ee g aa
बताओ	b a t aa o
बताता	b a t aa t aa
बताती	b a t aa t ii
बताते	b a t aa t ee
बताना	b a t aa n aa
बतानी	b a t aa n ii
बताने	b a t aa n ee
बताया	b a t aa y aa
बतायी	b a t aa y ii
बताये	b a t aa y ee
बतिस	b a t i s
बतीस	b a t ii s
बतौर	b a t ou r
बत्तख	b a t t a kh
बत्तखों	b a t t kh o q
बत्तिस	b a t t i s
बत्तिसबानवे	b a t t i s b aa n w ee
बत्तीस	b a t t ii s
बत्रा	b a t r aa
बद	b a d
बदक	b a d a k
बदतर	b a d t a r
बदनाम	b a d n aa m
बदरंग	b a d r a q g
बदल	b a d a l
बदलकर	b a d a l k a r
बदलता	b a d a l t aa
बदलती	b a d a l t ii
बदलते	b a d a l t ee
बदलना	b a d a l n aa
बदलने	b a d a l n ee
बदलवाने	b a d l a w aa n ee
बदला	b a d l aa
बदलाव	b a d l aa w
बदली	b a d l ii
बदले	b a d l ee
बदसलूकी	b a d s a l uu k ii
बदस्तूर	b a d a s t uu r
बदहवाश	b a d h a w aa sh
बदहवास	b a d h a w aa s
बदायूं	b a d aa y uu q
बदिलाव	b a d i l aa w
बदौलत	b a d ou l a t
बध	b a dh
बधवार	b a dh w aa r
बधाइयों	b a dh aa i y o q
बधाई	b a dh aa ii
बन	b a n
बनई	b a n ii
बनकर	b a n k a r
बनता	b a n t aa
बनती	b a n t ii
बनते	b a n t ee
बनना	b a n n aa
बनने	b a n n ee
बनर्जी	b a n a r j ii
बनवा	b a n w aa
बनवाकर	b a n w aa k a r
बनवाना	b a n w aa n aa
बनवाने	b a n w aa n ee
बनवाया	b a n w aa y aa
बनहानने	b a n h aa n n ee
बना	b a n aa
बनाई	b a n aa ii
बनाए	b a n aa ee
बनाएं	b a n aa ee q
बनाएगा	b a n aa ee g aa
बनाओ	b a n aa o
बनाकर	b a n aa k a r
बनाता	b a n aa t aa
बनाती	b a n aa t ii
बनाते	b a n aa t ee
बनाना	b a n aa n aa
बनाने	b a n aa n ee
बनाय	b a n aa y
बनाया	b a n aa y aa
बनायी	b a n aa y ii
बनाये	b a n aa y ee
बनावट	b a n aa w a tx
बनावाने	b a n aa w aa n ee
बनिस्बत	b a n i s b a t
बनी	b a n ii
बनीं	b a n ii q
बने	b a n ee
बनें	b a n ee q
बनेंगे	b a n ee q g ee
बनेग	b a n ee g
बनेगा	b a n ee g aa
बनेगी	b a n ee g ii
बन्धन	b a n dh a n
बबली	b a b l ii
बबलू	b a b l uu
बभीच	b a bh ii c
बम	b a m
बयां	b a y aa q
बयान	b a y aa n
बयानों	b a y aa n o q
बयान्वे	b a y aa n w ee
बयालीस	b a y aa l ii s
बयालीसवें	b a y aa l ii s w ee q
बयासी	b a y aa s ii
बरकरार	b a r k a r aa r
बरक्स	b a r a k s
बरगला	b a r a g l aa
बरत	b a r a t
बरतते	b a r a t t ee
बरतन	b a r t a n
बरतना	b a r a t n aa
बरतनी	b a r a t n ii
बरतने	b a r a t n ee
बरती	b a r t ii
बरतें	b a r t ee q
बरनाला	b a r n aa l aa
बरबाद	b a r b aa d
बरस	b a r a s
बरसाऊंगा	b a r s aa uu q g aa
बरसात	b a r s aa t
बरसाता	b a r s aa t aa
बरसों	b a r s o q
बरह	b a r a h
बरहद	b a r h a d
बराक	b a r aa k
बराबर	b a r aa b a r
बराबरी	b a r aa b r ii
बरामद	b a r aa m a d
बराह	b a r aa h
बरि	b a r i
बरिसाल	b a r i s aa l
बर्खास्त	b a r kh aa s t
बर्खास्तगी	b a r kh aa s t a g ii
बर्गर	b a r g a r
बर्ड	b a r dx
बर्तन	b a r t a n
बर्ताव	b a r t aa w
बर्थ	b a r th
बर्थडे	b a r th a dx ee
बर्फ	b a r ph
बर्फबारी	b a r ph a b aa r ii
बर्फ़	b a r f
बर्फी	b a r ph ii
बर्बाद	b a r b aa d
बर्बादी	b a r b aa d ii
बर्मन	b a r m a n
बर्रा	b a r r aa
बर्लिन	b a r l i n
बर्वे	b a r w ee
बल	b a l
बलात	b a l aa t
बलात्कार	b a l aa t k aa r
बलात्कारियों	b a l aa t k aa r i y o q
बलासलवदड	b a l aa s l a w d a dx
बलि	b a l i
बलिदानों	b a l i d aa n o q
बलूचिस्तान	b a l uu c i s t aa n
बलों	b a l o q
बल्कि	b a l k i
बल्ला	b a l l aa
बल्ली	b a l l ii
बल्ले	b a l l ee
बल्लेबाज	b a l l ee b aa j
बल्लेबाजी	b a l l ee b aa j ii
बल्लेबाजों	b a l l ee b aa j o q
बवाल	b a w aa l
बवेटवे	b a w ee tx w ee
बस	b a s
बसंती	b a s a q t ii
बसती	b a s t ii
बसना	b a s n aa
बसपा	b a s p aa
बसरतभी	b a s r a t bh ii
बसह	b a s a h
बसा	b a s aa
बसाना	b a s aa n aa
बसाने	b a s aa n ee
बसी	b a s ii
बसु	b a s u
बसे	b a s ee
बस्टर	b a s tx a r
बस्तर	b a s t a r
बस्तियां	b a s t i y aa q
बस्तियों	b a s t i y o q
बस्ते	b a s t ee
बस्तों	b a s t o q
बह	b a h
बहतर	b a h t a r
बहता	b a h t aa
बहती	b a h t ii
बहते	b a h t ee
बहत्तर	b a h a t t a r
बहन	b a h a n
बहनजी	b a h a n j ii
बहने	b a h n ee
बहनें	b a h n ee q
बहनों	b a h n o q
बहरहाल	b a h r a h aa l
बहस	b a h a s
बहा	b a h aa
बहाता	b a h aa t aa
बहादुर	b a h aa d u r
बहाना	b a h aa n aa
बहाने	b a h aa n ee
बहाली	b a h aa l ii
बहाव	b a h aa w
बहुआयामी	b a h u aa y aa m ii
बहुओं	b a h u o q
बहुग्राही	b a h u g r aa h ii
बहुचर्चित	b a h u c a r c i t
बहुत	b a h u t
बहुतम	b a h u t a m
बहुतायत	b a h u t aa y a t
बहुतों	b a h u t o q
बहुधा	b a h u dh aa
बहुध्रुवीय	b a h u dh r u w ii y
बहुबली	b a h u b l ii
बहुमत	b a h u m a t
बहुराष्ट्रीय	b a h u r aa sx tx r ii y
बहुर्राष्ट्रीय	b a h u r r aa sx tx r ii y
बहुल	b a h u l
बहुलता	b a h u l t aa
बहुलवादी	b a h u l w aa d ii
बहुविकल्पीय	b a h u w i k a l p ii y
बहुविध	b a h u w i dh
बहुविवाह	b a h u w i w aa h
बहुसंख्यक	b a h u s a q kh y a k
बहूबली	b a h uu b l ii
बहे	b a h ee
बांग्ला	b aa q g l aa
बांग्लादेश	b aa q g l aa d ee sh
बांग्लादेशियों	b aa q g l aa d ee sh i y o q
बांग्लादेशी	b aa q g l aa d ee sh ii
बांग्लाभाषी	b aa q g l aa bh aa sx ii
बांछें	b aa q ch ee q
बांट	b aa q tx
बांटता	b aa q tx a t aa
बांटने	b aa q tx a n ee
बांटा	b aa q tx aa
बांदा	b aa q d aa
बांद्रा	b aa q d r aa
बांध	b aa q dh
बांधने	b aa q dh a n ee
बांधि	b aa q dh i
बांधे	b aa q dh ee
बांधों	b aa q dh o q
बाइक	b aa i k
बाइकों	b aa i k o q
बाइस	b aa i s
बाइस्वे	b aa i s w ee
बाई	b aa ii
बाईस	b aa ii s
बाईसवें	b aa ii s w ee q
बाउंड्री	b aa u q dx r ii
बाउंस	b aa u q s
बाउट	b aa u tx
बाएं	b aa ee q
बाकायदा	b aa k aa y d aa
बाकियों	b aa k i y o q
बाकी	b aa k ii
बाक्स	b aa k s
बाग	b aa g
बागडोर	b aa g dx o r
बागपत	b aa g p a t
बागवानी	b aa g w aa n ii
बाग्ला	b aa g l aa
बाघ	b aa gh
बाघों	b aa gh o q
बाज	b aa j
बाजरा	b aa j r aa
बाजरे	b aa j r ee
बाजा	b aa j aa
बाजार	b aa j aa r
बाजारीकरण	b aa j aa r ii k r a nx
बाजारों	b aa j aa r o q
बाजी	b aa j ii
बाजीगर	b aa j ii g a r
बाजीराव	b aa j ii r aa w
बाजों	b aa j o q
बात	b aa t
बातचीत	b aa t c ii t
बाते	b aa t ee
बातें	b aa t ee q
बातों	b aa t o q
बाथरुम	b aa th r u m
बाद	b aa d
बादमयाल	b aa d m a y aa l
बादल	b aa d a l
बादलों	b aa d l o q
बादशा	b aa d sh aa
बादशाह	b aa d sh aa h
बादसरकार	b aa d a s r a k aa r
बादि	b aa d i
बाधक	b aa dh a k
बाधा	b aa dh aa
बाधाओं	b aa dh aa o q
बाधित	b aa dh i t
बाध्य	b aa dh y
बानगी	b aa n g ii
बानबे	b aa n b ee
बानवे	b aa n w ee
बानवें	b aa n w ee q
बाना	b aa n aa
बानाकर	b aa n aa k a r
बानी	b aa n ii
बानो	b aa n o
बान्ग्लादेश	b aa n g l aa d ee sh
बान्व	b aa n w
बान्वे	b aa n w ee
बाप	b aa p
बाब	b aa b
बाबत	b aa b a t
बाबर	b aa b a r
बाबसाहब	b aa b s aa h a b
बाबा	b aa b aa
बाबासाहब	b aa b aa s aa h a b
बाबू	b aa b uu
बाबूलाल	b aa b uu l aa l
बामियाल	b aa m i y aa l
बायपास	b aa y p aa s
बायें	b aa y ee q
बायो	b aa y o
बायोका	b aa y o k aa
बायोपिक	b aa y o p i k
बायोमास	b aa y o m aa s
बायोमिट्रिक	b aa y o m i tx r i k
बार	b aa r
बारऑनलाइन	b aa r ax n l aa i n
बारबडोस	b aa r b a dx o s
बारवी	b aa r w ii
बारह	b aa r a h
बारहआदिवासी	b aa r h aa d i w aa s ii
बारहवीं	b aa r h a w ii q
बारहों	b aa r h o q
बारा	b aa r aa
बारातियों	b aa r aa t i y o q
बारादरी	b aa r aa d r ii
बाराह	b aa r aa h
बारि	b aa r i
बारिश	b aa r i sh
बारिष	b aa r i sx
बारी	b aa r ii
बारूद	b aa r uu d
बारे	b aa r ee
बारेल	b aa r ee l
बारेली	b aa r ee l ii
बार्न	b aa r n
बाल	b aa l
बालन	b aa l a n
बाला	b aa l aa
बालाकृष्णन	b aa l aa k rq sx nx a n
बालाघाट	b aa l aa gh aa tx
बालाजी	b aa l aa j ii
बालिग	b aa l i g
बालिवुड	b aa l i w u dx
बालीवुड	b aa l ii w u dx
बावजुद	b aa w j u d
बावजूद	b aa w j uu d
बावन	b aa w a n
बास	b aa s
बासठ	b aa s a txh
बासठवां	b aa s txh a w aa q
बासठवीं	b aa s txh a w ii q
बास्केट	b aa s k ee tx
बाहर	b aa h a r
बाहरि	b aa h r i
बाहरी	b aa h r ii
बाहुबली	b aa h u b l ii
बाह्य	b aa h y
बाड़	b aa dxq
बाढ़	b aa dxhq
बिंदी	b i q d ii
बिंदु	b i q d u
बिंदुओं	b i q d u o q
बिक	b i k
बिकता	b i k t aa
बिकिनी	b i k i n ii
बिक्री	b i k r ii
बिक्रीगौरतलब	b i k r ii g ou r t a l a b
बिक्रेता	b i k r ee t aa
बिखर	b i kh a r
बिखराव	b i kh r aa w
बिखेरने	b i kh ee r n ee
बिग	b i g
बिगड़	b i g a dxq
बिगड़नी	b i g a dxq n ii
बिगड़ने	b i g a dxq n ee
बिगाड़	b i g aa dxq
बिगाड़ने	b i g aa dxq n ee
बिगड़	b i g a dxq
बिगड़ता	b i g a dxq t aa
बिगड़ती	b i g a dxq t ii
बिगड़ने	b i g a dxq n ee
बिगड़ा	b i g dxq aa
बिगड़ेग	b i g dxq ee g
बिगड़ेगी	b i g dxq ee g ii
बिचौलियों	b i c ou l i y o q
बिछ	b i ch
बिछाएगा	b i ch aa ee g aa
बिछौने	b i ch ou n ee
बिजनस	b i j n a s
बिजनेस	b i j n ee s
बिजली	b i j l ii
बिटक्वांइस	b i tx a k w aa q i s
बिटक्वाइन	b i tx a k w aa i n
बिठा	b i txh aa
बिता	b i t aa
बिताए	b i t aa ee
बिताना	b i t aa n aa
बिताये	b i t aa y ee
बिन	b i n
बिना	b i n aa
बिपासा	b i p aa s aa
बिपिन	b i p i n
बिमारी	b i m aa r ii
बिरजू	b i r j uu
बिरयानी	b i r y aa n ii
बिरले	b i r l ee
बिराज	b i r aa j
बिल	b i l
बिलकुल	b i l k u l
बिलबोर्ड	b i l b o r dx
बिल्कुल	b i l k u l
बिल्डिंग	b i l dx i q g
बिल्ली	b i l l ii
बिस	b i s
बिसरे	b i s r ee
बिसलरी	b i s a l r ii
बिस्कुट	b i s k u tx
बिस्कुल	b i s k u l
बिस्व	b i s w
बिस्वा	b i s w aa
बिहाफ	b i h aa ph
बिहार	b i h aa r
बिहारी	b i h aa r ii
बी	b ii
बींग	b ii q g
बीआई	b ii aa ii
बीई	b ii ii
बीए	b ii ee
बीएचईएल	b ii ee c ii ee l
बीएड	b ii ee dx
बीएस	b ii ee s
बीएसइएच	b ii ee s i ee c
बीएसईएच	b ii ee s ii ee c
बीएसएनएल	b ii ee s ee n ee l
बीएसएफ	b ii ee s ee ph
बीएसपी	b ii ee s p ii
बीएससी	b ii ee s s ii
बीच	b ii c
बीचो	b ii c o
बीचोंबीच	b ii c o q b ii c
बीचोबीच	b ii c o b ii c
बीज	b ii j
बीजिंग	b ii j i q g
बीजू	b ii j uu
बीजेडी	b ii j ee dx ii
बीजेपी	b ii j ee p ii
बीजों	b ii j o q
बीटा	b ii tx aa
बीटी	b ii tx ii
बीटेक	b ii tx ee k
बीडब्ल्यू	b ii dx a b l y uu
बीडब्ल्यूएफ	b ii dx a b l y uu ee ph
बीत	b ii t
बीती	b ii t ii
बीते	b ii t ee
बीपीएल	b ii p ii ee l
बीपीएस	b ii p ii ee s
बीमा	b ii m aa
बीमार	b ii m aa r
बीमारियां	b ii m aa r i y aa q
बीमारियों	b ii m aa r i y o q
बीमारी	b ii m aa r ii
बीयर्ड	b ii y a r dx
बीरेंदर	b ii r ee q d a r
बीस	b ii s
बीसतेरह	b ii s t ee r a h
बीसवीं	b ii s w ii q
बीसवे	b ii s w ee
बीसवें	b ii s w ee q
बीसी	b ii s ii
बीसीएम	b ii s ii ee m
बीसीबी	b ii s ii b ii
बीसीसीआई	b ii s ii s ii aa ii
बीस्वी	b ii s w ii
बीहड़	b ii h a dxq
बीड़ी	b ii dxq ii
बुंदेलखंड	b u q d ee l kh a q dx
बुआ	b u aa
बुक	b u k
बुकिंग	b u k i q g
बुकों	b u k o q
बुखार	b u kh aa r
बुजुर्ग	b u j u r g
बुजुर्गों	b u j u r g o q
बुद्ध	b u d dh
बुद्धि	b u d dh i
बुद्धिजीवियों	b u d dh i j ii w i y o q
बुद्धिजीवी	b u d dh i j ii w ii
बुधवार	b u dh w aa r
बुध्द	b u dh d
बुनकर	b u n k a r
बुनकरों	b u n k a r o q
बुनने	b u n n ee
बुनियाद	b u n i y aa d
बुनियादी	b u n i y aa d ii
बुने	b u n ee
बुमराह	b u m r aa h
बुरहानपुर	b u r h aa n p u r
बुरा	b u r aa
बुराई	b u r aa ii
बुरी	b u r ii
बुरे	b u r ee
बुल	b u l
बुलंद	b u l a q d
बुलंदशहर	b u l a q d a sh a h a r
बुलते	b u l t ee
बुलवाया	b u l w aa y aa
बुला	b u l aa
बुलाई	b u l aa ii
बुलाकर	b u l aa k a r
बुलाते	b u l aa t ee
बुलातो	b u l aa t o
बुलाना	b u l aa n aa
बुलाने	b u l aa n ee
बुलाया	b u l aa y aa
बुल्स	b u l s
बुवाई	b u w aa ii
बूँदे	b uu mq d ee
बूँदें	b uu mq d ee q
बूंद	b uu q d
बूंदें	b uu q d ee q
बूझ	b uu jh
बूझकर	b uu jh k a r
बूटियों	b uu tx i y o q
बूते	b uu t ee
बूश	b uu sh
बृहस्पतिवार	b rq h a s p a t i w aa r
बॅाक्स	b ae aa k s
बॅाग	b ae aa g
बॅास	b ae aa s
बेंगलुरु	b ee q g a l u r u
बेंगलुरू	b ee q g a l u r uu
बेंगलूर	b ee q g a l uu r
बेंगलोर	b ee q g a l o r
बेंगुलुरु	b ee q g u l u r u
बेंगूलोर	b ee q g uu l o r
बेंच	b ee q c
बेंटले	b ee q tx a l ee
बेईमानी	b ee ii m aa n ii
बेईमानों	b ee ii m aa n o q
बेकवास	b ee k w aa s
बेकाबू	b ee k aa b uu
बेकार	b ee k aa r
बेग	b ee g
बेगुनाह	b ee g u n aa h
बेच	b ee c
बेचकर	b ee c k a r
बेचन	b ee c a n
बेचनी	b ee c n ii
बेचने	b ee c n ee
बेचा	b ee c aa
बेची	b ee c ii
बेचैन	b ee c ei n
बेचैनी	b ee c ei n ii
बेजल	b ee j a l
बेजवाडा	b ee j w aa dx aa
बेजा	b ee j aa
बेजिंग	b ee j i q g
बेजोड़	b ee j o dxq
बेटा	b ee tx aa
बेटियां	b ee tx i y aa q
बेटियों	b ee tx i y o q
बेटी	b ee tx ii
बेटे	b ee tx ee
बेटो	b ee tx o
बेड	b ee dx
बेताब	b ee t aa b
बेताबी	b ee t aa b ii
बेदमयाल	b ee d m a y aa l
बेन	b ee n
बेनकाब	b ee n k aa b
बेनामी	b ee n aa m ii
बेपरवाह	b ee p r a w aa h
बेफिक्रे	b ee ph i k r ee
बेबसी	b ee b s ii
बेबी	b ee b ii
बेबुनियाद	b ee b u n i y aa d
बेबो	b ee b o
बेमानी	b ee m aa n ii
बेमियाल	b ee m i y aa l
बेमिसाल	b ee m i s aa l
बेमेल	b ee m ee l
बेमौसमी	b ee m ou s m ii
बेयजयंत	b ee y j a y a q t
बेयरस्टॉ	b ee y r a s tx ax
बेयरस्टो	b ee y r a s tx o
बेरियम	b ee r i y a m
बेरुखी	b ee r u kh ii
बेरोकटोक	b ee r o k tx o k
बेरोजगार	b ee r o j g aa r
बेरोजगारी	b ee r o j g aa r ii
बेरोजगारों	b ee r o j g aa r o q
बेलगावी	b ee l g aa w ii
बेली	b ee l ii
बेलुर	b ee l u r
बेल्जियम	b ee l j i y a m
बेल्ट	b ee l tx
बेल्टों	b ee l tx o q
बेवजह	b ee w j a h
बेवफा	b ee w ph aa
बेवफाई	b ee w ph aa ii
बेवा	b ee w aa
बेवूर	b ee w uu r
बेवॉच	b ee w ax c
बेशक	b ee sh a k
बेशकीमती	b ee sh k ii m t ii
बेष्ट	b ee sx tx
बेस	b ee s
बेसन	b ee s a n
बेसब्री	b ee s a b r ii
बेसमेंट	b ee s m ee q tx
बेसिक	b ee s i k
बेसिन	b ee s i n
बेस्ट	b ee s tx
बेस्ड	b ee s dx
बेहतर	b ee h t a r
बेहतरी	b ee h a t r ii
बेहतरीन	b ee h t a r ii n
बेहद	b ee h a d
बेहिचक	b ee h i c a k
बेहिसाब	b ee h i s aa b
बेहोश	b ee h o sh
बेहोसी	b ee h o s ii
बेड़े	b ee dxq ee
बैं	b ei q
बैंंिकंग	b ei q q i k a q g
बैंक	b ei q k
बैंककर्मियों	b ei q k a k a r m i y o q
बैंककर्मी	b ei q k a k a r m ii
बैंकर्स	b ei q k a r s
बैंकल	b ei q k a l
बैंकिंग	b ei q k i q g
बैंकिग	b ei q k i g
बैंकों	b ei q k o q
बैंक्वेट	b ei q k w ee tx
बैंगलुरु	b ei q g a l u r u
बैंगलुरू	b ei q g a l u r uu
बैंगलूरू	b ei q g a l uu r uu
बैंगलोर	b ei q g a l o r
बैंड	b ei q dx
बैंनकग	b ei q n a k a g
बैक	b ei k
बैकफुट	b ei k ph u tx
बैकलेस	b ei k l ee s
बैकिंग	b ei k i q g
बैकों	b ei k o q
बैग	b ei g
बैगानी	b ei g aa n ii
बैच	b ei c
बैचों	b ei c o q
बैटरियां	b ei tx r i y aa q
बैटरी	b ei tx r ii
बैटिंग	b ei tx i q g
बैठ	b ei txh
बैठक	b ei txh a k
बैठकर	b ei txh k a r
बैठके	b ei txh k ee
बैठकें	b ei txh k ee q
बैठकेंबजट	b ei txh k ee q b a j a tx
बैठकों	b ei txh k o q
बैठता	b ei txh t aa
बैठते	b ei txh t ee
बैठना	b ei txh n aa
बैठने	b ei txh n ee
बैठा	b ei txh aa
बैठी	b ei txh ii
बैठे	b ei txh ee
बैठें	b ei txh ee q
बैठेगा	b ei txh ee g aa
बैडमिंटन	b ei dx m i q tx a n
बैतूल	b ei t uu l
बैन	b ei n
बैनर्जी	b ei n a r j ii
बैलट	b ei l a tx
बैलेंसशीट	b ei l ee q s a sh ii tx
बैलेकिसीरी	b ei l ee k i s ii r ii
बैस	b ei s
बॉक्स	b ax k s
बॉक्सर	b ax k s a r
बॉडी	b ax dx ii
बॉन्ड	b ax n dx
बॉन्डिंग	b ax n dx i q g
बॉब	b ax b
बॉम्बर	b ax m b a r
बॉम्बे	b ax m b ee
बॉम्बेका	b ax m b ee k aa
बॉय	b ax y
बॉयज	b ax y a j
बॉयफ्रेंड	b ax y a ph r ee q dx
बॉल	b ax l
बॉलर	b ax l a r
बॉलर्स	b ax l a r s
बॉलिंग	b ax l i q g
बॉलिवुड	b ax l i w u dx
बॉलीवुड	b ax l ii w u dx
बॉस	b ax s
बॉ़स	b ax aa s
बोंगयांग	b o q g a y aa q g
बोझ	b o jh
बोतल	b o t a l
बोतलबंद	b o t a l b a q d
बोतलों	b o t l o q
बोध	b o dh
बोनस	b o n a s
बोनांजा	b o n aa q j aa
बोमन	b o m a n
बोरान	b o r aa n
बोरिंग	b o r i q g
बोरेट	b o r ee tx
बोर्ड	b o r dx
बोर्डों	b o r dx o q
बोल	b o l
बोलता	b o l t aa
बोलते	b o l t ee
बोलना	b o l n aa
बोलनी	b o l n ii
बोलने	b o l n ee
बोलबाला	b o l b aa l aa
बोला	b o l aa
बोलिए	b o l i ee
बोलियां	b o l i y aa q
बोलियों	b o l i y o q
बोली	b o l ii
बोलूंगा	b o l uu q g aa
बोले	b o l ee
बोलेंगे	b o l ee q g ee
बोल्ड	b o l dx
बोस	b o s
बौखलाहट	b ou kh l aa h a tx
बौद्धिक	b ou d dh i k
बौद्धों	b ou d dh o q
बौने	b ou n ee
बौस	b ou s
ब्यांसी	b y aa q s ii
ब्याज	b y aa j
ब्यारे	b y aa r ee
ब्यास	b y aa s
ब्याह	b y aa h
ब्यूरो	b y uu r o
ब्योरा	b y o r aa
ब्यौरा	b y ou r aa
ब्रम्हापुत्र	b r a m h aa p u t r
ब्रह्मकुंड	b r a h m a k u q dx
ब्रह्मगिरी	b r a h m a g i r ii
ब्रह्मपुत्र	b r a h m a p u t r
ब्रांच	b r aa q c
ब्रांचों	b r aa q c o q
ब्रांड	b r aa q dx
ब्राउजर	b r aa u j a r
ब्राउन	b r aa u n
ब्राजील	b r aa j ii l
ब्राड	b r aa dx
ब्रायन	b r aa y a n
ब्राह्मणबरिया	b r aa h m a nx a b r i y aa
ब्रिक	b r i k
ब्रिक्	b r i k
ब्रिक्स	b r i k s
ब्रिगेडियर	b r i g ee dx i y a r
ब्रिटिश	b r i tx i sh
ब्रिटेन	b r i tx ee n
ब्रितानी	b r i t aa n ii
ब्रिसबेन	b r i s b ee n
ब्रिस्बेन	b r i s b ee n
ब्रीच	b r ii c
ब्रीफकेस	b r ii ph k ee s
ब्रूनेई	b r uu n ee ii
ब्रेअकप	b r ee a k a p
ब्रेक	b r ee k
ब्रेकअप	b r ee k a p
ब्रेकिंग	b r ee k i q g
ब्रेक्जिट	b r ee k j i tx
ब्रेडमैन	b r ee dx m ei n
ब्रेस्ट	b r ee s tx
ब्रैड	b r ei dx
ब्रैडमन	b r ei dx m a n
ब्रैडमैन	b r ei dx m ei n
ब्रॉड	b r ax dx
ब्रॉडबैंक	b r ax dx b ei q k
ब्रॉडबैंड	b r ax dx b ei q dx
ब्लाक	b l aa k
ब्लागर	b l aa g a r
ब्लागरों	b l aa g r o q
ब्लास्टर्स	b l aa s tx a r s
ब्लूटूथ	b l uu tx uu th
ब्लैंकफिन	b l ei q k a ph i n
ब्लैक	b l ei k
ब्लैकमेल	b l ei k m ee l
ब्लॉक	b l ax k
ब्लॉकचेन	b l ax k c ee n
ब्लॉगर	b l ax g a r
ब्लॉगरों	b l ax g r o q
ब्लोक	b l o k
ब्लौक	b l ou k
ब्वाय	b w aa y
ब्वॉय	b w ax y
ब्वॉयज	b w ax y a j
बड़ा	b a dxq aa
बड़ी	b a dxq ii
बड़े	b a dxq ee
बड़ेबड़े	b a dxq ee b dxq ee
बड़ौदा	b a dxq ou d aa
बढ़	b a dxhq
बढ़ई	b a dxhq ii
बढ़कर	b a dxhq k a r
बढ़त	b a dxhq a t
बढ़ता	b a dxhq t aa
बढ़ती	b a dxhq t ii
बढ़ते	b a dxhq t ee
बढ़ना	b a dxhq n aa
बढ़नी	b a dxhq n ii
बढ़ने	b a dxhq n ee
बढ़ा	b a dxhq aa
बढ़ाई	b a dxhq aa ii
बढ़ाता	b a dxhq aa t aa
बढ़ाती	b a dxhq aa t ii
बढ़ाना	b a dxhq aa n aa
बढ़ाने	b a dxhq aa n ee
बढ़ाया	b a dxhq aa y aa
बढ़ाये	b a dxhq aa y ee
बढ़ार्इं	b a dxhq aa r i q
बढ़ावा	b a dxhq aa w aa
बढ़ी	b a dxhq ii
बढ़ीं	b a dxhq ii q
बढ़े	b a dxhq ee
बढ़ेगा	b a dxhq ee g aa
बढ़ेगी	b a dxhq ee g ii
बढ़ोतर	b a dxhq o t a r
बढ़ोतरी	b a dxhq o t r ii
भ	bh a
भंग	bh a q g
